[ Valid | 001/200 ] loss = 2.34079, acc = 0.17560 -> best
[ Valid | 002/200 ] loss = 2.27457, acc = 0.25176 -> best
[ Valid | 003/200 ] loss = 2.47980, acc = 0.25497 -> best
[ Valid | 004/200 ] loss = 1.83786, acc = 0.35363 -> best
[ Valid | 005/200 ] loss = 1.88252, acc = 0.35573 -> best
[ Valid | 006/200 ] loss = 1.71749, acc = 0.39757 -> best
[ Valid | 007/200 ] loss = 1.87040, acc = 0.37679
[ Valid | 008/200 ] loss = 1.75268, acc = 0.38331
[ Valid | 009/200 ] loss = 1.63582, acc = 0.43385 -> best
[ Valid | 010/200 ] loss = 1.60415, acc = 0.45156 -> best
[ Valid | 011/200 ] loss = 1.78096, acc = 0.40835
[ Valid | 012/200 ] loss = 1.48587, acc = 0.48023 -> best
[ Valid | 013/200 ] loss = 1.81028, acc = 0.42673
[ Valid | 014/200 ] loss = 1.61234, acc = 0.46628
[ Valid | 015/200 ] loss = 1.48117, acc = 0.49285 -> best
[ Valid | 016/200 ] loss = 1.45494, acc = 0.50858 -> best
[ Valid | 017/200 ] loss = 1.38037, acc = 0.53550 -> best
[ Valid | 018/200 ] loss = 1.36276, acc = 0.54517 -> best
[ Valid | 019/200 ] loss = 1.40011, acc = 0.54722 -> best
[ Valid | 020/200 ] loss = 1.21617, acc = 0.58642 -> best
[ Valid | 021/200 ] loss = 1.48739, acc = 0.52769
[ Valid | 022/200 ] loss = 1.25668, acc = 0.57606
[ Valid | 023/200 ] loss = 1.16965, acc = 0.60640 -> best
[ Valid | 024/200 ] loss = 1.10071, acc = 0.62649 -> best
[ Valid | 025/200 ] loss = 1.21675, acc = 0.59591
[ Valid | 026/200 ] loss = 1.64477, acc = 0.51699
[ Valid | 027/200 ] loss = 1.17432, acc = 0.61708
[ Valid | 028/200 ] loss = 0.99885, acc = 0.66436 -> best
[ Valid | 029/200 ] loss = 1.06912, acc = 0.63005
[ Valid | 030/200 ] loss = 1.00901, acc = 0.65924
[ Valid | 031/200 ] loss = 1.51687, acc = 0.53980
[ Valid | 032/200 ] loss = 1.16726, acc = 0.64320
[ Valid | 033/200 ] loss = 0.99139, acc = 0.65485
[ Valid | 034/200 ] loss = 1.37363, acc = 0.61063
[ Valid | 035/200 ] loss = 0.99471, acc = 0.65909
[ Valid | 036/200 ] loss = 1.15111, acc = 0.63092
[ Valid | 037/200 ] loss = 0.87985, acc = 0.70318 -> best
[ Valid | 038/200 ] loss = 0.91223, acc = 0.69307
[ Valid | 039/200 ] loss = 1.02850, acc = 0.66283
[ Valid | 040/200 ] loss = 1.05572, acc = 0.65080
[ Valid | 041/200 ] loss = 0.89950, acc = 0.69956
[ Valid | 042/200 ] loss = 1.00005, acc = 0.66862
[ Valid | 043/200 ] loss = 1.09817, acc = 0.62893
[ Valid | 044/200 ] loss = 1.17429, acc = 0.63095
[ Valid | 045/200 ] loss = 1.06954, acc = 0.66949
[ Valid | 046/200 ] loss = 1.05501, acc = 0.66506
[ Valid | 047/200 ] loss = 1.04082, acc = 0.65843
[ Valid | 048/200 ] loss = 0.90300, acc = 0.71197 -> best
[ Valid | 049/200 ] loss = 1.16245, acc = 0.67134
[ Valid | 050/200 ] loss = 1.26903, acc = 0.61774
[ Valid | 051/200 ] loss = 0.87708, acc = 0.71158
[ Valid | 052/200 ] loss = 0.94611, acc = 0.71462 -> best
[ Valid | 053/200 ] loss = 0.96013, acc = 0.69861
[ Valid | 054/200 ] loss = 0.98389, acc = 0.70116
[ Valid | 055/200 ] loss = 0.90072, acc = 0.71207
[ Valid | 056/200 ] loss = 0.94597, acc = 0.69272
[ Valid | 057/200 ] loss = 0.94385, acc = 0.69460
[ Valid | 058/200 ] loss = 1.02094, acc = 0.68836
[ Valid | 059/200 ] loss = 1.01057, acc = 0.69439
[ Valid | 060/200 ] loss = 1.05682, acc = 0.66625
[ Valid | 061/200 ] loss = 1.00359, acc = 0.68745
[ Valid | 062/200 ] loss = 1.16417, acc = 0.65520
[ Valid | 063/200 ] loss = 1.06082, acc = 0.69816
[ Valid | 064/200 ] loss = 0.89681, acc = 0.71971 -> best
[ Valid | 065/200 ] loss = 1.02882, acc = 0.69778
[ Valid | 066/200 ] loss = 0.98538, acc = 0.69464
[ Valid | 067/200 ] loss = 0.81695, acc = 0.73429 -> best
[ Valid | 068/200 ] loss = 0.80714, acc = 0.74398 -> best
[ Valid | 069/200 ] loss = 1.11747, acc = 0.68103
[ Valid | 070/200 ] loss = 0.84159, acc = 0.74200
[ Valid | 071/200 ] loss = 0.83739, acc = 0.74799 -> best
[ Valid | 072/200 ] loss = 1.31483, acc = 0.64770
[ Valid | 073/200 ] loss = 0.82958, acc = 0.74988 -> best
