[ Valid | 001/200 ] loss = 2.50124, acc = 0.30093 -> best
[ Valid | 002/200 ] loss = 2.05811, acc = 0.37007 -> best
[ Valid | 003/200 ] loss = 1.69948, acc = 0.44576 -> best
[ Valid | 004/200 ] loss = 2.07043, acc = 0.41645
[ Valid | 005/200 ] loss = 1.69123, acc = 0.44929 -> best
[ Valid | 006/200 ] loss = 2.33530, acc = 0.37605
[ Valid | 007/200 ] loss = 1.95290, acc = 0.44895
[ Valid | 008/200 ] loss = 1.41508, acc = 0.55481 -> best
[ Valid | 009/200 ] loss = 1.35327, acc = 0.55447
[ Valid | 010/200 ] loss = 1.38377, acc = 0.57335 -> best
[ Valid | 011/200 ] loss = 1.59958, acc = 0.56291
[ Valid | 012/200 ] loss = 1.46470, acc = 0.56007
[ Valid | 013/200 ] loss = 1.29555, acc = 0.62033 -> best
[ Valid | 014/200 ] loss = 1.63622, acc = 0.55736
[ Valid | 015/200 ] loss = 1.14561, acc = 0.63885 -> best
[ Valid | 016/200 ] loss = 1.60814, acc = 0.56373
[ Valid | 017/200 ] loss = 1.67846, acc = 0.56601
[ Valid | 018/200 ] loss = 1.56439, acc = 0.58525
[ Valid | 019/200 ] loss = 1.13090, acc = 0.66295 -> best
[ Valid | 020/200 ] loss = 1.32995, acc = 0.62505
[ Valid | 021/200 ] loss = 1.44910, acc = 0.59183
[ Valid | 022/200 ] loss = 1.06447, acc = 0.69437 -> best
[ Valid | 023/200 ] loss = 1.52128, acc = 0.58115
[ Valid | 024/200 ] loss = 1.33922, acc = 0.62829
[ Valid | 025/200 ] loss = 1.34555, acc = 0.64312
[ Valid | 026/200 ] loss = 0.93077, acc = 0.72418 -> best
[ Valid | 027/200 ] loss = 1.19871, acc = 0.68341
[ Valid | 028/200 ] loss = 1.14720, acc = 0.67042
[ Valid | 029/200 ] loss = 2.09078, acc = 0.51986
[ Valid | 030/200 ] loss = 1.48753, acc = 0.63800
[ Valid | 031/200 ] loss = 1.60830, acc = 0.60373
[ Valid | 032/200 ] loss = 1.38638, acc = 0.63604
[ Valid | 033/200 ] loss = 1.08653, acc = 0.71617
[ Valid | 034/200 ] loss = 1.21747, acc = 0.63465
[ Valid | 035/200 ] loss = 1.51758, acc = 0.63095
